Qual o nome do órgão em que você trabalha?;órgão;Qual o seu cargo?;Cargo_Cat;Município;COD_UF;UF;Estado;Qual a sua ocupação?;Quais são as suas dúvidas em relação à LPG?;Quais são as suas dúvidas em relação à PNAB?
Associação das artesãs e artesãos do Vale do jurua;Sociedade Civil;Assessoria e projetos é parceria;Assessor;Cruzeiro do Sul;12;AC;ACRE;Servidor da Pasta de Cultura;Nenhuma;Nenhuma
Fundação de Cultura Elias Mansour;Fundação;Chefe do Departamento de Políticas Culturais;Diretor;Rio Branco;12;AC;ACRE;Servidor da Pasta de Cultura;Prestação de Contas;Ações afirmativas
Associação artesã artesoes do valel do jurua;Sociedade Civil;Tesoureiro;Técnico;Cruzeiro do sul;12;AC;ACRE;Gestor da Pasta de Cultura;Para mim entender o que LPG Como funciona;E mesma coisa LPG então pra mim entender PNAB
Fundação de Cultura Elias Mansour-FEM;Fundação;Assessor Técnico;Técnico;Rio Branco;12;AC;ACRE;Servidor da Pasta de Cultura;Como pode ser utilizado os recursos do Rendimento?;Como pode ser utilizado os recursos do Rendimento?
FEM;Fundação;ag.adm;Gerente;Rio Branco;12;AC;ACRE;Servidor da Pasta de Cultura;a;b
Fundação Elias Mansour;Fundação;Técnico cultural;Técnico;Rio Branco;12;AC;ACRE;Servidor da Pasta de Cultura;Não tenho dúvidas;Qual o prazo para concluir as ações 2023/2024
Fundação de Cultura Elias Mansour;Fundação;Assessor de Planejamento;Assessor;Rio Branco;12;AC;ACRE;Servidor da Pasta de Cultura;Como utilizar os 5% para operacionalização;Como operacionalizar os 5% dos recursos
Departamento de Cultura;Secretaria Municipal de Cultura;Coordenador de Cultura;Coordenador;Marechal Thaumaturgo;12;AC;ACRE;Gestor da Pasta de Cultura;Para o seguimento AUDIO VISUAL não haverá prorrogação para a prestação de contas?;Após a aprovação do plano de ação, quais serão os primeiros passos?
Fgb;Fundação;Auxiliar administrativo;Auxiliar;Rio Branco;12;AC;ACRE;Servidor da Pasta de Cultura;Dúvidas a tirar na reunião;Dúvidas a ser tirada nas reuniões
Secretaria municipal de Porto Acre;Secretaria Municipal de Cultura;Diretoria;Diretor;Porto Acre;12;AC;ACRE;Gestor da Pasta de Cultura;Como e a prestação de contas;Sobre o plano municipal
CEEAC/SCC/MinC;Ministério da Cultura;Servidor;Técnico;Rio Branco;12;AC;ACRE;Servidor da Pasta de Cultura;Prazo para prestação de contas;Decreto de Fomento, ART 26, inciso XI - realização de obras e reformas pelo agente cultural. Aplicação deste inciso.
Fundação Municipal de Cultura Garibaldi Brasil;Fundação;Gerente Administrativo;Gerente;Rio Branco;12;AC;ACRE;Consultor;- Prazo para instituir o Plano de Cultura;- Reformas dos equipamentos culturais.
Comitê de Cultura Acre;Sociedade Civil;Coordenadora Metodológica;Coordenador;Rio Branco;12;AC;ACRE;Agente Cultural;Não tenho;Aquisição de equipamentos e obras é uma possibilidade para grupos da sociedade civil? Como funcionará?
Conselho Estadual de Cultura;Conselho Estadual de Cultura;presidente;Indefinido;Rio Branco;12;AC;ACRE;Agente Cultural;Prestação de contas;aplicação do recurso de obras e PNCV
Sociedade civik;Sociedade Civil;Ativista cultural e fazedora de cultura;Indefinido;Porto Acre;12;AC;ACRE;Agente Cultural;"Alguns municípios não fizeram efetivamente a escuta pública por meio das oitavas. Nesse caso como obrigar o município a realizar as escutas?

Em Porto Acre o edital da LPG de prêmio a prefeitura cobra ações e prestação de contas como se fosse projeto de fomento normal, mesmo ela tendo lançado o edital como prêmio. O que fazer nesse caso?";Como a sociedade civil ter o devido a acesso as oitivas?
MinC;Ministério da Cultura;Coordenador de Escritório;Coordenador;Rio Branco;12;AC;ACRE;Servidor da Pasta de Cultura;Há demandas de diversos gestores sobre prestação de contas.;Diversas demandas estão aparecendo durante os processos de escuta, como, por exemplo, reforma de bens culturais particulares.
CEEAL;Conselho Estadual de Cultura;Servidora;Técnico;Maceió;27;AL;ALAGOAS;Servidor da Pasta de Cultura;O que fazer com os recursos que sobraram.;O que é obrigatório ter no PAAR.
SECULT;Secretaria Municipal de Cultura;Coordenador de Projetos Culturais;Coordenador;Passo de Camaragibe;27;AL;ALAGOAS;Servidor da Pasta de Cultura;Haverá prorrogação de prazo de execução?;Haverá prorrogação de prazo de execução?
Secretaria municipal de cultura, esporte e eventos de japaratinga;Secretaria Municipal de Cultura;Secretário;Secretário;Japaratinga;27;AL;ALAGOAS;Gestor da Pasta de Cultura;Nao tenho ja executei;Como fazer a PAAR?
Associação dos músicos;Sociedade Civil;Presidente;Indefinido;SãoJosé da tapera;27;AL;ALAGOAS;Agente Cultural;Por que nunca a divulgação pra todos antes do prazo que o sistema;Qual a diferença da Paulo Gustavo?
Secretaria de cultura de Pilar Alagoas;Secretaria Municipal de Cultura;Consultora;Consultor;Maceió;27;AL;ALAGOAS;Consultor;Relatório final;PAAR
Secretaria de educação e cultura;Secretaria Municipal de Cultura;Diretor de cultura;Diretor;Senador Rui Palmeira;27;AL;ALAGOAS;Gestor da Pasta de Cultura;Pretacao de conta;Execução da lei
Secretária de Cultura;Secretaria Municipal de Cultura;Secretaria de cultura;Secretário;TRAIPU;27;AL;ALAGOAS;Gestor da Pasta de Cultura;Ter mais conhecimento;Conhece mais  o projeto
Autônoma;Sociedade Civil;Consultor;Consultor;Chã Preta;27;AL;ALAGOAS;Consultor;Prestação de Contas;Preenchimento do PAAR
SEMED secretaria de educação;Secretaria Municipal de Educação;Aux. De Secretaria;Auxiliar;CARNEIROS;27;AL;ALAGOAS;Agente Cultural;As cotas, tiraram muitos artista 🎨  bom-senso e entrou muita gente sem experiência.;Porque tão  poucas vagas?
Secretaria Municipal de Educação;Secretaria Municipal de Educação;Diretora de Cultura;Diretor;Campo Alegre;27;AL;ALAGOAS;Gestor da Pasta de Cultura;Não tenho dúvidas, já executamos e estamos na prestação de contas e contrapartida;Sobre os 5%, caso o município opte por uma comissão do próprio município, pode ser funcionários?
Secretaria de cultura de maceio;Secretaria Municipal de Cultura;Superintendente;Superintendente;Maceió;27;AL;ALAGOAS;Servidor da Pasta de Cultura;Conciliação no bbagil;Elaboração  do PAAR e se haverá prorrogação visto que tem municípios  que ainda não finalizarmos  a LPG
